compound,modulation_domain,modulation_level,receptor_or_system,evidence_basis,evidence_status,psychedelic_relevance,reported_concentration_mg_L,reported_area_pct
estragole,toxicology context,unestablished,,Toxicological concern is not a receptor interaction or psychedelic mechanism,no qualifying psychedelic interaction,Not established; evaluate separately from psychedelic classification,25.2,2.1
cis-anethole,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from trans-anethole evidence,3.6,0.3
anisaldehyde,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from aroma or presence,9.6,0.8
trans-anethole,sensory-neural modulation,directly characterized,"TRPA1; HTR2A unresolved","Functional agonism is supported at TRPA1; no qualifying 5-HT2A edge","supported for TRPA1; HTR2A unestablished","Dominant sensory-neural modifier candidate; TRPA1 activity is not classic psychedelic pharmacology",868.8,72.4
geranial,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,1.2,0.1
neral,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,1.2,0.1
trans-sabinyl acetate,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; structure is resolved only through a supplemental crosswalk,7.2,0.6
methyleugenol,toxicology context,unestablished,,Toxicological concern is not a receptor interaction or psychedelic mechanism,no qualifying psychedelic interaction,Not established; evaluate separately from psychedelic classification,1.2,0.1
beta-caryophyllene,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from receptor-comparator status,2.4,0.2
gamma-himachalene,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; sample stereochemistry remains unresolved,1.2,0.1
spathulenol,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,1.2,0.1
chamazulene,unresolved neural modulation,unestablished,,Trace and below LOQ in the repository COA; no qualifying compound-receptor edge located,no qualifying interaction located,Not established; exposure is analytically constrained,
absinthin,nonvolatile fraction,unassessed,,Listed in the Terpedia absinthe profile but absent from the volatile COA table; no receptor assay mapped,unassessed,Preparation-level contribution is unknown and cannot support a psychedelic label,
artabsin,nonvolatile fraction,unassessed,,Listed in the Terpedia absinthe profile but absent from the volatile COA table; no receptor assay mapped,unassessed,Preparation-level contribution is unknown and cannot support a psychedelic label,
rosmarinic acid,nonvolatile fraction,unassessed,,Listed in the Terpedia absinthe profile but absent from the volatile COA table; no receptor assay mapped,unassessed,Preparation-level contribution is unknown and cannot support a psychedelic label,
